#"Versus.0002" "r Id_vs_Vgs" "i Id_vs_Vgs"
2 7.64639e-10 0
2.001 7.64639e-10 0
2.002 7.64639e-10 0
2.003 7.64639e-10 0
2.004 7.64639e-10 0
2.00501 7.64639e-10 0
2.00601 7.64639e-10 0
2.00701 7.64639e-10 0
2.00801 7.64639e-10 0
2.00901 7.64639e-10 0
2.01001 7.64639e-10 0
2.01101 7.64639e-10 0
2.01201 7.64639e-10 0
2.01301 7.64639e-10 0
2.01401 7.64639e-10 0
2.01502 7.64639e-10 0
2.01602 7.64639e-10 0
2.01702 7.64639e-10 0
2.01802 7.64639e-10 0
2.01902 7.64639e-10 0
2.02002 7.64639e-10 0
2.02102 7.64639e-10 0
2.02202 7.64639e-10 0
2.02302 7.64639e-10 0
2.02402 7.64639e-10 0
2.02503 7.64639e-10 0
2.02603 7.64639e-10 0
2.02703 7.64639e-10 0
2.02803 7.64639e-10 0
2.02903 7.64639e-10 0
2.03003 7.64639e-10 0
2.03103 7.64639e-10 0
2.03203 7.64639e-10 0
2.03303 7.64639e-10 0
2.03403 7.64639e-10 0
2.03504 7.64639e-10 0
2.03604 7.64639e-10 0
2.03704 7.64639e-10 0
2.03804 7.64639e-10 0
2.03904 7.64639e-10 0
2.04004 7.64639e-10 0
2.04104 7.64639e-10 0
2.04204 7.64639e-10 0
2.04304 7.64639e-10 0
2.04404 7.64639e-10 0
2.04505 7.64639e-10 0
2.04605 7.64639e-10 0
2.04705 7.64639e-10 0
2.04805 7.64639e-10 0
2.04905 7.64639e-10 0
2.05005 7.64639e-10 0
2.05105 7.64639e-10 0
2.05205 7.64639e-10 0
2.05305 7.64639e-10 0
2.05405 7.64639e-10 0
2.05506 7.64639e-10 0
2.05606 7.64639e-10 0
2.05706 7.64639e-10 0
2.05806 7.64639e-10 0
2.05906 7.64639e-10 0
2.06006 7.64639e-10 0
2.06106 7.64639e-10 0
2.06206 7.64639e-10 0
2.06306 7.64639e-10 0
2.06406 7.64639e-10 0
2.06507 7.64639e-10 0
2.06607 7.64639e-10 0
2.06707 7.64639e-10 0
2.06807 7.64639e-10 0
2.06907 7.64639e-10 0
2.07007 7.64639e-10 0
2.07107 7.64639e-10 0
2.07207 7.64639e-10 0
2.07307 7.64639e-10 0
2.07407 7.64639e-10 0
2.07508 7.64639e-10 0
2.07608 7.64639e-10 0
2.07708 7.64639e-10 0
2.07808 7.64639e-10 0
2.07908 7.64639e-10 0
2.08008 7.64639e-10 0
2.08108 7.64639e-10 0
2.08208 7.64639e-10 0
2.08308 7.64639e-10 0
2.08408 7.64639e-10 0
2.08509 7.64639e-10 0
2.08609 7.64639e-10 0
2.08709 7.64639e-10 0
2.08809 7.64639e-10 0
2.08909 7.64639e-10 0
2.09009 7.64639e-10 0
2.09109 7.64639e-10 0
2.09209 7.64639e-10 0
2.09309 7.64639e-10 0
